MeshName,MeshSize,Iters,M/S,T/S,M/P,T/P,SpeedupM,SpeedupT,Efficiency M,Efficiency T
BS,9,1,0.004589,0.003315,,,,,,
HT,31,1,0.001951,0.001168,0.000321,0.000272,6.07788161993769,4.29411764705882,0.007913908359294,0.005591299019608
BS,441,1,0.006284,0.000236,,,,,,
HT,1057,1,0.008394,0.004653,0.000436,0.000414,19.2522935779817,11.2391304347826,0.02506809059633,0.01463428442029
BS,40401,1,0.103577,0.076575,,,,,,
FS,56215,1,0.163211,0.132485,0.004261,0.002294,38.303449894391,57.7528334786399,0.049874283716655,0.075199001925313
HT,91507,1,0.25871,0.179593,0.005073,0.002786,50.9974374137591,64.4626704953338,0.066402913299166,0.083935768874133
US,397210,1,1.07191,0.835235,0.0221713,0.01191,48.346736546797,70.1288832913518,0.062951479878642,0.091313650118948
BS,4004001,1,9.53327,6.94098,,,,,,
HT,9015007,1,23.5438,16.528,,0.182056,,90.7852528892209,,
BS,9,3,0.003268,0.004521,,,,,,
HT,31,3,0.004821,0.001367,0.000481,0.000534,10.022869022869,2.55992509363296,0.013050610706861,0.003333235799001
BS,441,3,0.008081,0.003745,,,,,,
HT,1057,3,0.014846,0.009485,0.001082,0.000759,13.720887245841,12.4967061923584,0.017865738601356,0.016271752854633
BS,40401,3,0.300315,0.223245,,,,,,
FS,56215,3,0.476855,0.381233,0.009575,0.005094,49.8020887728459,74.8396152336082,0.06484646975631,0.097447415668761
HT,91507,3,0.695733,0.518769,0.00861,0.004483,80.8052264808362,115.719161275931,0.105215138646922,0.150675991244702
US,397210,3,3.2327,2.55191,0.0268179,0.027902,120.542622651289,91.4597519891047,0.156956539910532,0.119088218735813
BS,4004001,3,28.729,20.6536,,,,,,
HT,9015007,3,72.0522,49.4013,,0.353498,,139.7498712864,,
BS,9,10,0.005998,0.001163,,,,,,
HT,31,10,0.003155,0.001981,0.001079,0.000907,2.92400370713624,2.18412348401323,0.003807296493667,0.002843910786476
BS,441,10,0.019063,0.014841,,,,,,
HT,1057,10,0.033213,0.020516,0.00244,0.002116,13.6118852459016,9.69565217391305,0.017723808913935,0.012624547101449
BS,40401,10,0.981667,0.722714,,,,,,
FS,56215,10,1.59544,1.25026,0.028106,0.013693,56.7651035366114,91.3065069743665,0.073912895229963,0.118888680956206
HT,91507,10,2.30391,1.7,0.023694,0.010475,97.236009116232,162.291169451074,0.126609386870094,0.211316626889419
US,397210,10,10.8001,8.47632,0.0386666,0.080542,279.313412609332,105.240992277321,0.363689339335068,0.137032542027762
BS,4004001,10,94.9346,68.981,,,,,,
HT,9015007,10,231.428,166.473,,0.970519,,171.529872161184,,
BS,9,30,0.006241,0.007235,,,,,,
HT,31,30,0.009456,0.003811,0.002557,0.00231,3.69808369182636,1.64978354978355,0.004815213140399,0.002148155663781
BS,441,30,0.041386,0.032282,,,,,,
HT,1057,30,0.090776,0.08727,0.006149,0.005893,14.7627256464466,14.8090955370779,0.019222299018811,0.01928267648057
BS,40401,30,2.92199,2.16072,,,,,,
FS,56215,30,4.75925,3.74065,0.082099,0.038977,57.9696464025141,95.9707006696257,0.07548131041994,0.124961849830242
HT,91507,30,7.06799,5.07638,0.065962,0.029214,107.152451411419,173.76531799822,0.139521421108618,0.226256924476849
US,397210,30,32.5709,25.4039,0.0748363,0.230765,435.228625680318,110.08558490239,0.566703939687914,0.143340605341654
BS,4004001,30,285.357,207.696,,,,,,
HT,9015007,30,691.896,494.677,,2.710096,,182.531172327475,,
BS,9,100,0.009346,0.006688,,,,,,
HT,31,100,0.013831,0.008426,0.00693,0.006769,1.9958152958153,1.24479243610578,0.002598717833093,0.001620823484513
BS,441,100,0.123238,0.117309,,,,,,
HT,1057,100,0.303011,0.200238,0.020352,0.017182,14.8885121855346,11.6539401699453,0.019386083574915,0.01517440126295
BS,40401,100,9.7041,7.12326,,,,,,
FS,56215,100,15.7266,12.4075,0.267547,0.122657,58.7807002134205,101.156069364162,0.076537370069558,0.131713631984586
HT,91507,100,23.0585,16.7672,0.215581,0.093929,106.959797013651,178.50929957734,0.139270569028192,0.232433983824662
US,397210,100,107.772,85.2188,0.1982712,0.758339,543.558519845545,112.375599830683,0.70775848938222,0.146322395612868
BS,4004001,100,955.664,709.991,,,,,,
HT,9015007,100,2225.96,1666.94,,8.816593,,189.068498455129,,
BS,9,300,0.010946,0.012935,,,,,,
HT,31,300,0.036287,0.018321,0.020651,0.019049,1.75715461720982,0.961782770749121,0.002287961741159,0.00125232131608
BS,441,300,0.348242,0.252118,,,,,,
HT,1057,300,0.81878,0.580502,0.058878,0.050015,13.9063826896294,11.6065580325902,0.018107269127122,0.015112705771602
BS,40401,300,29.2523,21.4874,,,,,,
FS,56215,300,47.1333,37.1629,0.793881,0.365524,59.3707369240478,101.670204966021,0.077305647036521,0.13238307938284
HT,91507,300,69.2758,49.6429,0.636245,0.278514,108.882270194658,178.242027330763,0.141773789315961,0.23208597308693
US,397210,300,319.756,256.342,0.5524979,2.26657,578.746091161613,113.096882072912,0.753575639533351,0.147261565199104
BS,4004001,300,2853.09,2097.25,,,,,,
HT,9015007,300,6770.67,5103.43,,26.213734,,194.685350816484,,0.253496550542297
BS,9,1000,0.029724,0.024007,,,,,,
HT,31,1000,0.080646,0.052126,0.069878,0.061941,1.15409714073099,0.841542758431411,0.001502730651993,0.001095758800041
BS,441,1000,1.12198,0.768692,,,,,,
HT,1057,1000,2.74162,1.87303,0.184361,0.16528,14.8709325725072,11.3324661181026,0.019363193453786,0.014755815257946
BS,40401,1000,96.6276,70.8928,,,,,,
FS,56215,1000,157.252,124.067,2.609975,1.207641,60.2503855400914,102.735001544333,0.078451022838661,0.13376953326085
HT,91507,1000,231.862,167.682,2.105482,0.92345,110.123002713868,181.582110563647,0.143389326450349,0.236435039796416
US,397210,1000,1078.22,848.892,1.7932207,7.511199,601.275682351871,113.01684324966,0.782911044728999,0.147157347981328
BS,4004001,1000,9447.96,7040.91,,,,,,
HT,9015007,1000,22798,,,87.125453,,,,
BS,9,3000,0.072712,0.058088,,,,,,
HT,31,3000,0.236463,0.154555,0.201413,0.177299,1.17402054485063,0.871719524644809,0.001528672584441,0.001135051464381
BS,441,3000,3.35018,2.27589,,,,,,
HT,1057,3000,7.9947,5.64597,0.518076,0.461505,15.4315196998124,12.2338219520915,0.020093124609131,0.015929455666786
BS,40401,3000,289.886,214.075,,,,,,
FS,56215,3000,465.142,361.622,7.791286,3.642074,59.7002856781281,99.2901297447553,0.077734746976729,0.12928402310515
HT,91507,3000,660.303,501.905,6.326357,2.762004,104.373338399967,181.717694833172,0.135902784374957,0.236611581814026
US,397210,3000,3310.32,2538.37,5.3327164,22.451133,620.756806043539,113.062000033584,0.808277091202525,0.147216145877063
BS,4004001,3000,28735.5,,,,,,,
HT,9015007,3000,66471.7,,,261.251109,,,,
